Name,StarNameFString,CatalogFString,RightAscenstion,Declination,OptionalVisualMagnitude,Parallax,ProperMotionInDeclination,ProperMotionInRightAscension,RadialVelocity
HR 3634,Lam Vel,BSC,136.9992,-43.4325, 2.21,0.022,0.013,-0.019,18
HR 1852,34Del Ori,BSC,83.0017,-0.2992, 2.23,0.014,-0.002,0.001,16
HR 5793,5Alp CrB,BSC,233.6721,26.7147, 2.23,0.045,-0.089,0.121,2
HR 6705,33Gam Dra,BSC,269.1517,51.4889, 2.23,0.025,-0.019,-0.008,-28
HR 168,18Alp Cas,BSC,10.1271,56.5372, 2.23,0.016,-0.032,0.053,-4
HR 3699,Iot Car,BSC,139.2725,-59.2753, 2.25,0.017,0.008,-0.02,13
HR 3165,Zet Pup,BSC,120.8962,-40.0033, 2.25,,0.012,-0.027,-24
HR 603,57Gam1And,BSC,30.975,42.3297, 2.26,0.013,-0.052,0.045,-12
HR 5054,79Zet UMa,BSC,200.9812,54.9253, 2.27,0.047,-0.02,0.122,-6
HR 21,11Bet Cas,BSC,2.2946,59.1497, 2.27,0.072,-0.181,0.525,12
HR 6241,26Eps Sco,BSC,252.5408,-34.2933, 2.29,0.022,-0.255,-0.611,-3
HR 5132,Eps Cen,BSC,204.9717,-53.4664, 2.30,,-0.016,-0.028,3
HR 5469,Alp Lup,BSC,220.4825,-47.3883, 2.30,,-0.018,-0.021,5
HR 5440,Eta Cen,BSC,218.8767,-42.1578, 2.31,,-0.035,-0.035,0
HR 5953,7Del Sco,BSC,240.0833,-22.6217, 2.32,,-0.022,-0.012,-7
HR 4295,48Bet UMa,BSC,165.4604,56.3825, 2.37,0.053,0.034,0.082,-12
HR 99,Alp Phe,BSC,6.5708,-42.3061, 2.39,0.035,-0.396,0.203,75
HR 8308,8Eps Peg,BSC,326.0467,9.875, 2.39,0.006,-0.001,0.031,5
HR 6580,Kap Sco,BSC,265.6221,-39.03, 2.41,,-0.027,-0.006,-14
HR 8775,53Bet Peg,BSC,345.9438,28.0828, 2.42,0.022,0.137,0.189,9
HR 6378,35Eta Oph,BSC,257.5946,-15.7247, 2.43,0.052,0.098,0.039,-1
HR 4554,64Gam UMa,BSC,178.4575,53.6947, 2.44,0.028,0.012,0.095,-13
HR 8162,5Alp Cep,BSC,319.645,62.5856, 2.44,0.068,0.049,0.151,-10
HR 2827,31Eta CMa,BSC,111.0238,-29.3031, 2.45,,0.005,-0.004,41
HR 7949,53Eps Cyg,BSC,311.5529,33.9703, 2.46,0.057,0.328,0.356,-11
HR 264,27Gam Cas,BSC,14.1771,60.7167, 2.47,0.016,-0.005,0.026,-7
HR 8781,54Alp Peg,BSC,346.1904,15.2053, 2.49,0.038,-0.042,0.063,-4
HR 3734,Kap Vel,BSC,140.5283,-55.0108, 2.50,0.013,0.009,-0.008,22
HR 911,92Alp Cet,BSC,45.57,4.0897, 2.53,0.009,-0.078,-0.009,-26
HR 5231,Zet Cen,BSC,208.885,-47.2883, 2.55,,-0.042,-0.057,7
HR 6175,13Zet Oph,BSC,249.2896,-10.5672, 2.56,0.003,0.026,0.014,-15
HR 4357,68Del Leo,BSC,168.5271,20.5236, 2.56,0.048,-0.13,0.142,-20
HR 1865,11Alp Lep,BSC,83.1825,-17.8222, 2.58,0.007,0.002,0.001,24
HR 4662,4Gam Crv,BSC,183.9517,-17.5419, 2.59,,0.023,-0.161,-4
HR 4621,Del Cen,BSC,182.0896,-50.7225, 2.60,0.026,-0.008,-0.034,11
HR 7194,38Zet Sgr,BSC,285.6529,-29.8803, 2.60,0.025,-0.002,-0.015,22
HR 5685,27Bet Lib,BSC,229.2517,-9.3831, 2.61,-0.003,-0.019,-0.096,-35
HR 4057,41Gam1Leo,BSC,154.9929,19.8417, 2.61,0.022,-0.147,0.306,-37
HR 5984,8Bet1Sco,BSC,241.3592,-19.8056, 2.62,0.009,-0.019,-0.006,-1
HR 2095,37The Aur,BSC,89.9304,37.2125, 2.62,0.022,-0.081,0.048,30
HR 1956,Alp Col,BSC,84.9121,-34.0742, 2.64,0.001,-0.026,0.007,35
HR 553,6Bet Ari,BSC,28.66,20.8081, 2.64,0.074,-0.111,0.096,-2
HR 4786,9Bet Crv,BSC,188.5967,-23.3967, 2.65,0.034,-0.054,0.002,-8
HR 5854,24Alp Ser,BSC,236.0671,6.4256, 2.65,0.053,0.047,0.137,3
HR 5571,Bet Lup,BSC,224.6329,-43.1339, 2.68,,-0.039,-0.035,0
HR 5235,8Eta Boo,BSC,208.6712,18.3978, 2.68,0.108,-0.358,-0.063,0
HR 403,37Del Cas,BSC,21.4542,60.2353, 2.68,0.037,-0.051,0.297,7
HR 4798,Alp Mus,BSC,189.2958,-69.1356, 2.69,,-0.013,-0.048,13
HR 4216,Mu  Vel,BSC,161.6925,-49.42, 2.69,0.022,-0.048,0.074,6
HR 6508,34Ups Sco,BSC,262.6908,-37.2958, 2.69,,-0.031,-0.001,8
HR 1577,3Iot Aur,BSC,74.2483,33.1661, 2.69,0.021,-0.018,0.003,18
HR 2773,Pi  Pup,BSC,109.2858,-37.0975, 2.70,0.032,0.004,-0.009,16
HR 6859,19Del Sgr,BSC,275.2487,-29.8281, 2.70,0.047,-0.028,0.035,-20
HR 5506,36Eps Boo,BSC,221.2467,27.0742, 2.70,0.016,0.021,-0.049,-17
HR 7525,50Gam Aql,BSC,296.565,10.6133, 2.72,0.016,-0.002,0.018,-2
HR 6056,1Del Oph,BSC,243.5862,-3.6944, 2.74,0.034,-0.143,-0.044,-20
HR 6132,14Eta Dra,BSC,245.9979,61.5142, 2.74,0.051,0.061,-0.017,-14
HR 5028,Iot Cen,BSC,200.1492,-36.7122, 2.75,0.062,-0.085,-0.341,0
HR 5531,9Alp2Lib,BSC,222.7196,-16.0417, 2.75,0.058,-0.067,-0.106,-10
HR 4199,The Car,BSC,160.7392,-64.3944, 2.76,,0.01,-0.023,24
HR 1899,44Iot Ori,BSC,83.8583,-5.91, 2.77,0.025,0.001,0,22
HR 6603,60Bet Oph,BSC,265.8683,4.5672, 2.77,0.033,0.159,-0.04,-12
HR 6148,27Bet Her,BSC,247.555,21.4897, 2.77,0.024,-0.015,-0.098,-26
HR 5776,Gam Lup,BSC,233.7854,-41.1669, 2.78,0.008,-0.028,-0.015,2
HR 1666,67Bet Eri,BSC,76.9625,-5.0864, 2.79,0.05,-0.081,-0.095,-9
HR 6536,23Bet Dra,BSC,262.6083,52.3014, 2.79,0.013,0.015,-0.016,-20
HR 98,Bet Hyi,BSC,6.4379,-77.2542, 2.80,0.153,0.324,2.215,23
HR 4656,Del Cru,BSC,183.7863,-58.7489, 2.80,0.003,-0.009,-0.041,22
HR 6913,22Lam Sgr,BSC,276.9925,-25.4217, 2.81,0.053,-0.185,-0.044,-43
HR 3185,15Rho Pup,BSC,121.8858,-24.3042, 2.81,0.035,0.049,-0.083,46
HR 6212,40Zet Her,BSC,250.3217,31.6031, 2.81,0.102,0.394,-0.47,-70
HR 6165,23Tau Sco,BSC,248.9708,-28.2161, 2.82,0.02,-0.022,-0.008,2
HR 4932,47Eps Vir,BSC,195.5442,10.9592, 2.83,0.043,0.02,-0.273,-14
HR 39,88Gam Peg,BSC,3.3092,15.1836, 2.83,-0.002,-0.012,0.003,4
HR 1829,9Bet Lep,BSC,82.0612,-20.7594, 2.84,0.02,-0.089,-0.004,-14
HR 5897,Bet TrA,BSC,238.7854,-63.4306, 2.85,0.083,-0.398,-0.191,0
HR 6461,Bet Ara,BSC,261.325,-55.53, 2.85,0.034,-0.025,-0.008,0
HR 1203,44Zet Per,BSC,58.5329,31.8836, 2.85,0.01,-0.01,0.006,20
HR 591,Alp Hyi,BSC,29.6925,-61.5697, 2.86,0.048,0.027,0.264,1
HR 8502,Alp Tuc,BSC,334.6254,-60.2597, 2.86,0.026,-0.043,-0.072,42
HR 8322,49Del Cap,BSC,326.76,-16.1272, 2.87,0.087,-0.297,0.263,-6
HR 1165,25Eta Tau,BSC,56.8713,24.105, 2.87,0.008,-0.046,0.019,10
HR 7528,18Del Cyg,BSC,296.2437,45.1308, 2.87,0.03,0.047,0.053,-20
HR 2286,13Mu  Gem,BSC,95.74,22.5136, 2.88,0.02,-0.111,0.054,55
HR 2890,66Alp Gem,BSC,113.65,31.8886, 2.88,0.067,-0.099,-0.172,-1
HR 5671,Gam TrA,BSC,229.7275,-68.6794, 2.89,0.01,-0.031,-0.072,-3
HR 5944,6Pi  Sco,BSC,239.7129,-26.1142, 2.89,0.01,-0.026,-0.011,-3
HR 6084,20Sig Sco,BSC,245.2971,-25.5928, 2.89,,-0.021,-0.01,3
HR 7264,41Pi  Sgr,BSC,287.4408,-21.0236, 2.89,0.026,-0.035,0,-10
HR 1220,45Eps Per,BSC,59.4633,40.0103, 2.89,0.009,-0.026,0.018,1
HR 2845,3Bet CMi,BSC,111.7875,8.2894, 2.90,0.019,-0.038,-0.052,22
HR 4915,12Alp2CVn,BSC,194.0071,38.3183, 2.90,0.027,0.056,-0.234,-3
HR 8232,22Bet Aqr,BSC,322.8896,-5.5711, 2.91,0.006,-0.008,0.021,7
HR 2553,Tau Pup,BSC,102.4842,-50.6147, 2.93,,-0.07,0.036,36
HR 915,23Gam Per,BSC,46.1992,53.5064, 2.93,0.016,-0.005,0,3
HR 8650,44Eta Peg,BSC,340.7504,30.2214, 2.94,0.017,-0.025,0.015,4
HR 6510,Alp Ara,BSC,262.9604,-49.8761, 2.95,0.007,-0.07,-0.031,0
HR 4757,7Del Crv,BSC,187.4662,-16.5156, 2.95,0.024,-0.138,-0.21,9
HR 1231,34Gam Eri,BSC,59.5075,-13.5086, 2.95,0.01,-0.111,0.061,62
HR 8414,34Alp Aqr,BSC,331.4458,-0.3197, 2.96,0.012,-0.01,0.02,8
HR 3873,17Eps Leo,BSC,146.4629,23.7742, 2.98,0.01,-0.011,-0.046,4
HR 2473,27Eps Gem,BSC,100.9829,25.1311, 2.98,0.017,-0.013,-0.006,10
HR 6746,10Gam2Sgr,BSC,271.4521,-30.4242, 2.99,0.025,-0.185,-0.053,22
HR 7235,17Zet Aql,BSC,286.3525,13.8633, 2.99,0.045,-0.096,-0.005,-25
HR 1605,7Eps Aur,BSC,75.4921,43.8233, 2.99,0.007,-0.004,-0.001,-3
HR 5020,46Gam Hya,BSC,199.7304,-23.1717, 3.00,0.027,-0.045,0.064,-5
HR 4630,2Eps Crv,BSC,182.5312,-22.6197, 3.00,0.027,0.014,-0.071,5
HR 1910,123Zet Tau,BSC,84.4112,21.1425, 3.00,0.008,-0.021,0,20
HR 622,4Bet Tri,BSC,32.3858,34.9872, 3.00,0.022,-0.04,0.15,10
HR 3890,Ups Car,BSC,146.7754,-65.0719, 3.01,0.027,0.011,-0.012,14
HR 8353,Gam Gru,BSC,328.4821,-37.365, 3.01,0.013,-0.021,0.102,-2
HR 4335,52Psi UMa,BSC,167.4158,44.4986, 3.01,,-0.028,-0.065,-4
HR 1122,39Del Per,BSC,55.7313,47.7875, 3.01,0.016,-0.034,0.028,4
HR 2282,1Zet CMa,BSC,95.0783,-30.0633, 3.02,0.004,0.003,0.009,32
HR 2653,24Omi2CMa,BSC,105.7562,-23.8333, 3.02,,0.003,-0.004,48
HR 6615,Iot1Sco,BSC,266.8962,-40.1269, 3.03,0.019,-0.008,0,-28
HR 5435,27Gam Boo,BSC,218.0196,38.3083, 3.03,0.025,0.153,-0.114,-37
HR 5193,Mu  Cen,BSC,207.4042,-42.4739, 3.04,,-0.02,-0.023,9
HR 681,68Omi Cet,BSC,34.8363,-2.9775, 3.04,0.024,-0.237,-0.008,64
HR 4844,Bet Mus,BSC,191.5704,-68.1081, 3.05,0.015,-0.017,-0.039,42
HR 4069,34Mu  UMa,BSC,155.5821,41.4994, 3.05,0.035,0.035,-0.082,-21
HR 5735,13Gam UMi,BSC,230.1821,71.8339, 3.05,0.003,0.02,-0.019,-4
HR 7310,57Del Dra,BSC,288.1388,67.6617, 3.07,0.032,0.093,0.094,25
HR 6247,Mu 1Sco,BSC,252.9675,-38.0475, 3.08,,-0.025,-0.011,-25
HR 7776,9Bet Cap,BSC,305.2529,-14.7814, 3.08,0.01,0.002,0.042,-19
HR 7417,6Bet1Cyg,BSC,292.6804,27.9597, 3.08,0.017,-0.002,0.002,-24
HR 7869,Alp Ind,BSC,309.3917,-47.2914, 3.11,0.046,0.066,0.053,-1
HR 6832,Eta Sgr,BSC,274.4067,-36.7617, 3.11,0.045,-0.167,-0.128,1
HR 4232,Nu  Hya,BSC,162.4062,-16.1936, 3.11,0.028,0.2,0.094,-1
HR 3547,16Zet Hya,BSC,133.8483,5.9456, 3.11,0.035,0.014,-0.099,23
HR 2040,Bet Col,BSC,87.74,-35.7683, 3.12,0.023,0.401,0.059,89
HR 4467,Lam Cen,BSC,173.945,-63.0197, 3.13,,-0.005,-0.041,-1
HR 3803,,BSC,142.8054,-57.0344, 3.13,0.022,0.004,-0.032,-14
HR 6285,Zet Ara,BSC,254.655,-55.9903, 3.13,0.044,-0.036,-0.019,-6
HR 5576,Kap Cen,BSC,224.7904,-42.1042, 3.13,,-0.024,-0.019,8
HR 3705,40Alp Lyn,BSC,140.2637,34.3925, 3.13,0.025,0.019,-0.221,38
HR 6410,65Del Her,BSC,258.7579,24.8392, 3.14,0.044,-0.157,-0.021,-40
HR 3569,9Iot UMa,BSC,134.8017,48.0417, 3.14,0.075,-0.226,-0.444,9
HR 6418,67Pi  Her,BSC,258.7617,36.8092, 3.16,0.025,0.004,-0.026,-26
HR 2451,Nu  Pup,BSC,99.4404,-43.1961, 3.17,,-0.006,0.002,28
HR 7039,27Phi Sgr,BSC,281.4142,-26.9908, 3.17,,0,0.053,22
HR 1641,10Eta Aur,BSC,76.6288,41.2344, 3.17,0.022,-0.068,0.029,7
HR 3775,25The UMa,BSC,143.2142,51.6772, 3.17,0.052,-0.531,-0.954,15
HR 6396,22Zet Dra,BSC,257.1967,65.7147, 3.17,0.023,0.022,-0.02,-17
HR 5463,Alp Cir,BSC,220.6267,-64.9753, 3.19,0.056,-0.232,-0.192,7
HR 1654,2Eps Lep,BSC,76.3654,-22.3711, 3.19,0.011,-0.074,0.025,1
HR 1543,1Pi 3Ori,BSC,72.46,6.9614, 3.19,0.125,0.012,0.466,24
HR 6299,27Kap Oph,BSC,254.4171,9.375, 3.20,0.031,-0.01,-0.291,-56
HR 8115,64Zet Cyg,BSC,318.2342,30.2269, 3.20,0.027,-0.056,0.001,17
HR 6630,,BSC,267.4646,-37.0433, 3.21,0.04,0.033,0.049,25
HR 8974,35Gam Cep,BSC,354.8367,77.6325, 3.21,0.064,0.151,-0.067,-42
HR 5695,Del Lup,BSC,230.3429,-40.6475, 3.22,,-0.026,-0.015,0
HR 7710,65The Aql,BSC,302.8263,-0.8214, 3.23,0.012,0.004,0.038,-27
HR 8238,8Bet Cep,BSC,322.165,70.5608, 3.23,0.014,0.007,0.01,-8
HR 1208,Gam Hyi,BSC,56.8096,-74.2389, 3.24,0.005,0.114,0.047,16
HR 897,The1Eri,BSC,44.5654,-40.3047, 3.24,0.035,0.019,-0.045,12
HR 6075,2Eps Oph,BSC,244.5804,-4.6925, 3.24,0.043,0.041,0.085,-10
HR 7178,14Gam Lyr,BSC,284.7358,32.6894, 3.24,0.021,0.002,-0.002,-21
HR 2878,Sig Pup,BSC,112.3075,-43.3014, 3.25,0.02,0.187,-0.055,88
HR 6869,58Eta Ser,BSC,275.3275,-2.8989, 3.26,0.058,-0.7,-0.547,9
HR 2550,Alp Pic,BSC,102.0475,-61.9414, 3.27,0.052,0.269,-0.069,21
HR 1465,Alp Dor,BSC,68.4992,-55.045, 3.27,0.018,-0.003,0.051,26
HR 5287,49Pi  Hya,BSC,211.5929,-26.6825, 3.27,0.049,-0.139,0.044,27
HR 6453,42The Oph,BSC,260.5025,-24.9994, 3.27,,-0.02,-0.004,-2
HR 8709,76Del Aqr,BSC,343.6625,-15.8208, 3.27,0.038,-0.025,-0.04,18
HR 165,31Del And,BSC,9.8321,30.8608, 3.27,0.028,-0.091,0.136,-7
HR 2216,7Eta Gem,BSC,93.7192,22.5067, 3.28,0.014,-0.012,-0.068,19
HR 5603,20Sig Lib,BSC,226.0175,-25.2819, 3.29,0.064,-0.043,-0.073,-4
HR 5744,12Iot Dra,BSC,231.2325,58.9661, 3.29,0.04,0.017,-0.009,-11
HR 322,Bet Phe,BSC,16.5208,-46.7186, 3.31,0.021,-0.001,-0.027,-1
HR 1702,5Mu  Lep,BSC,78.2329,-16.2056, 3.31,0.023,-0.026,0.043,28
HR 4660,69Del UMa,BSC,183.8567,57.0325, 3.31,0.061,0.009,0.104,-13
HR 4037,Ome Car,BSC,153.4342,-70.0381, 3.32,,0.007,-0.039,7
HR 4140,,BSC,158.0058,-61.6853, 3.32,,0.009,-0.019,26
HR 7234,40Tau Sgr,BSC,286.735,-27.6706, 3.32,0.044,-0.251,-0.053,45
HR 6380,Eta Sco,BSC,258.0383,-43.2392, 3.33,0.063,-0.287,0.024,-28
HR 6462,Gam Ara,BSC,261.3483,-56.3775, 3.34,,-0.012,-0.002,-3
HR 3045,7Xi  Pup,BSC,117.3238,-24.8597, 3.34,0.003,-0.002,-0.003,3
HR 6698,64Nu  Oph,BSC,269.7567,-9.7736, 3.34,0.021,-0.116,-0.007,13
HR 4359,70The Leo,BSC,168.56,15.4294, 3.34,0.026,-0.079,-0.061,8
HR 1336,Alp Ret,BSC,63.6063,-62.4739, 3.35,0.013,0.045,0.045,36
HR 8465,21Zet Cep,BSC,332.7137,58.2011, 3.35,0.017,0.004,0.015,-18
HR 1788,28Eta Ori,BSC,81.1192,-2.3969, 3.36,0.007,0,0.002,20
HR 7377,30Del Aql,BSC,291.3746,3.1147, 3.36,0.072,0.082,0.257,-30
HR 2484,31Xi  Gem,BSC,101.3225,12.8956, 3.36,0.055,-0.191,-0.116,25
HR 3323,1Omi UMa,BSC,127.5663,60.7181, 3.36,0.009,-0.107,-0.133,20
HR 5708,Eps Lup,BSC,230.6704,-44.6894, 3.37,0.009,-0.013,-0.019,8
HR 5107,79Zet Vir,BSC,203.6733,-0.5958, 3.37,0.044,0.042,-0.285,-13
HR 4910,43Del Vir,BSC,193.9008,3.3975, 3.38,0.022,-0.054,-0.469,-18
HR 3482,11Eps Hya,BSC,131.6942,6.4189, 3.38,0.027,-0.051,-0.189,36
HR 542,45Eps Cas,BSC,28.5987,63.67, 3.38,0.01,-0.021,0.032,-8
HR 921,25Rho Per,BSC,46.2942,38.8403, 3.39,0.011,-0.106,0.13,28
HR 4050,,BSC,154.2708,-61.3322, 3.40,0.027,0.005,-0.024,8
