Name,StarNameFString,CatalogFString,RightAscenstion,Declination,OptionalVisualMagnitude,Parallax,ProperMotionInDeclination,ProperMotionInRightAscension,RadialVelocity
HR 5602,42Bet Boo,BSC,225.4867,40.3906, 3.50,0.037,-0.028,-0.041,-20
HR 6897,Alp Tel,BSC,276.7433,-45.9683, 3.51,,-0.054,-0.016,0
HR 7150,37Xi 2Sgr,BSC,284.4325,-21.1067, 3.51,0.011,-0.012,0.033,-20
HR 3249,17Bet Cnc,BSC,124.1288,9.1856, 3.52,0.012,-0.049,-0.044,22
HR 3852,14Omi Leo,BSC,145.2875,9.8922, 3.52,0.034,-0.037,-0.142,27
HR 3975,30Eta Leo,BSC,151.8333,16.7628, 3.52,0.003,0,-0.002,3
HR 8694,32Iot Cep,BSC,342.42,66.2006, 3.52,0.041,-0.125,-0.065,-12
HR 5881,32Mu  Ser,BSC,237.405,-3.4303, 3.53,0.007,-0.024,-0.086,-9
HR 8450,26The Peg,BSC,332.55,6.1978, 3.53,0.049,0.027,0.276,-6
HR 1409,74Eps Tau,BSC,67.1542,19.1803, 3.53,0.02,-0.038,0.107,39
HR 2777,55Del Gem,BSC,110.0308,21.9822, 3.53,0.061,-0.012,-0.026,4
HR 6220,44Eta Her,BSC,250.7242,38.9222, 3.53,0.034,-0.083,0.037,8
HR 3940,Phi Vel,BSC,149.2158,-54.5678, 3.54,,0.003,-0.01,14
HR 4450,Xi  Hya,BSC,173.2504,-31.8578, 3.54,0.027,-0.04,-0.206,-5
HR 6561,55Xi  Ser,BSC,264.3967,-15.3986, 3.54,0.03,-0.058,-0.042,-43
HR 1136,23Del Eri,BSC,55.8121,-9.7633, 3.54,0.109,0.745,-0.092,-6
HR 1879,39Lam Ori,BSC,83.7846,9.9342, 3.54,0.007,-0.006,0,34
HR 5354,Iot Lup,BSC,214.8508,-46.0578, 3.55,,0.002,-0.013,22
HR 1998,14Zet Lep,BSC,86.7387,-14.8219, 3.55,0.049,-0.001,-0.016,20
HR 7665,Del Pav,BSC,302.1817,-66.1819, 3.56,0.17,-1.131,1.207,-22
HR 674,Phi Eri,BSC,34.1275,-51.5122, 3.56,,-0.027,0.096,10
HR 5705,Phi1Lup,BSC,230.4517,-36.2614, 3.56,0.014,-0.084,-0.089,-29
HR 1347,41Ups4Eri,BSC,64.4737,-33.7983, 3.56,,-0.008,0.067,18
HR 4382,12Del Crt,BSC,169.8354,-14.7786, 3.56,0.024,0.208,-0.122,-5
HR 74,8Iot Cet,BSC,4.8571,-8.8239, 3.56,0.013,-0.036,-0.014,19
HR 6252,Mu 2Sco,BSC,253.0838,-38.0175, 3.57,,-0.024,-0.011,1
HR 7754,6Alp2Cap,BSC,304.5138,-12.5447, 3.57,0.034,0.004,0.064,0
HR 2985,77Kap Gem,BSC,116.1117,24.3981, 3.57,0.026,-0.052,-0.033,21
HR 464,51    And,BSC,24.4983,48.6283, 3.57,0.021,-0.113,0.065,16
HR 6927,44Chi Dra,BSC,275.2642,72.7328, 3.57,0.12,-0.35,0.532,33
HR 5794,39Ups Lib,BSC,234.2563,-28.135, 3.58,0.044,0.003,-0.009,-25
HR 2763,54Lam Gem,BSC,109.5233,16.5403, 3.58,0.047,-0.037,-0.048,-9
HR 5429,25Rho Boo,BSC,217.9575,30.3714, 3.58,0.029,0.119,-0.1,-14
HR 4700,Eps Cru,BSC,185.34,-60.4011, 3.59,0.026,0.087,-0.175,-5
HR 3786,Psi Vel,BSC,142.675,-40.4667, 3.60,0.065,0.073,-0.182,9
HR 1983,13Gam Lep,BSC,86.1158,-22.4483, 3.60,0.128,-0.37,-0.293,-10
HR 402,45The Cet,BSC,21.0058,-8.1833, 3.60,0.041,-0.218,-0.079,17
HR 1735,20Tau Ori,BSC,79.4017,-6.8444, 3.60,0.006,-0.008,-0.015,20
HR 1030,1Omi Tau,BSC,51.2033,9.0289, 3.60,0.016,-0.078,-0.066,-21
HR 2540,34The Gem,BSC,103.1971,33.9611, 3.60,0.021,-0.048,-0.002,21
HR 3594,12Kap UMa,BSC,135.9062,47.1567, 3.60,0.016,-0.054,-0.033,4
HR 3017,,BSC,116.3138,-37.9686, 3.61,0.006,0.002,-0.01,17
HR 3994,41Lam Hya,BSC,152.6471,-12.3542, 3.61,0.027,-0.089,-0.202,19
HR 4540,5Bet Vir,BSC,177.6738,1.7647, 3.61,0.104,-0.271,0.743,5
HR 4923,Del Mus,BSC,195.5675,-71.5489, 3.62,0.03,-0.021,0.256,37
HR 6582,Eta Pav,BSC,266.4333,-64.7239, 3.62,0.025,-0.054,-0.014,-8
HR 6500,Del Ara,BSC,262.7746,-60.6839, 3.62,,-0.096,-0.059,10
HR 3447,,BSC,130.0733,-52.9219, 3.62,,0.019,-0.022,16
HR 6271,Zet2Sco,BSC,253.6458,-42.3614, 3.62,0.028,-0.236,-0.124,-19
HR 437,99Eta Psc,BSC,22.8708,15.3458, 3.62,0.015,-0.006,0.028,15
HR 8762,1Omi And,BSC,345.4804,42.3261, 3.62,0.015,-0.006,0.023,-14
HR 7882,6Bet Del,BSC,309.3875,14.5953, 3.63,0.028,-0.033,0.113,-23
HR 1178,27    Tau,BSC,57.2904,24.0533, 3.63,-0.026,-0.047,0.018,9
HR 838,41    Ari,BSC,42.4958,27.2606, 3.63,0.034,-0.118,0.067,4
HR 4520,Lam Mus,BSC,176.4017,-66.7286, 3.64,,0.037,-0.103,16
HR 7986,Bet Ind,BSC,313.7025,-58.4542, 3.65,-0.005,-0.026,0.017,-5
HR 4825,29Gam Vir,BSC,190.415,-1.4494, 3.65,0.099,0.012,-0.565,-20
HR 1346,54Gam Tau,BSC,64.9483,15.6275, 3.65,0.028,-0.025,0.115,39
HR 5291,11Alp Dra,BSC,211.0971,64.3758, 3.65,0.018,0.018,-0.055,-13
HR 6743,The Ara,BSC,271.6579,-50.0917, 3.66,,-0.014,-0.01,3
HR 5812,40Tau Lib,BSC,234.6642,-29.7778, 3.66,,-0.03,-0.015,3
HR 8812,88    Aqr,BSC,347.3617,-21.1725, 3.66,0.01,0.031,0.055,21
HR 153,17Zet Cas,BSC,9.2429,53.8969, 3.66,0.004,-0.009,0.019,2
HR 5867,28Bet Ser,BSC,236.5471,15.4219, 3.67,0.041,-0.045,0.067,-1
HR 3757,23    UMa,BSC,142.8821,63.0619, 3.67,0.041,0.028,0.109,-10
HR 3468,Alp Pyx,BSC,130.8979,-33.1864, 3.68,,0.011,-0.011,15
HR 8278,40Gam Cap,BSC,325.0229,-16.6622, 3.68,0.029,-0.023,0.19,-31
HR 4826,29Gam Vir,BSC,190.415,-1.4494, 3.68,0.099,0.012,-0.565,-20
HR 5747,3Bet CrB,BSC,231.9571,29.1058, 3.68,0.032,0.086,-0.179,-19
HR 3884,,BSC,146.3117,-62.5078, 3.69,0.027,0.007,-0.014,3
HR 1003,16Tau4Eri,BSC,49.8792,-21.7578, 3.69,-0.013,0.033,0.052,42
HR 8852,6Gam Psc,BSC,349.2913,3.2822, 3.69,0.036,0.017,0.762,-14
HR 1552,3Pi 4Ori,BSC,72.8017,5.605, 3.69,0.001,0.001,-0.001,23
HR 566,Chi Eri,BSC,28.9896,-51.6089, 3.70,0.058,0.292,0.681,-6
HR 1142,17    Tau,BSC,56.2188,24.1133, 3.70,0.02,-0.046,0.019,12
HR 6703,92Xi  Her,BSC,269.4413,29.2478, 3.70,0.021,-0.017,0.084,-2
HR 2085,16Eta Lep,BSC,89.1012,-14.1678, 3.71,0.066,0.139,-0.042,-2
HR 5892,37Eps Ser,BSC,237.7042,4.4778, 3.71,0.041,0.063,0.128,-9
HR 7602,60Bet Aql,BSC,298.8283,6.4067, 3.71,0.07,-0.482,0.048,-40
HR 4518,63Chi UMa,BSC,176.5125,47.7794, 3.71,0.019,0.03,-0.137,-9
HR 5511,109    Vir,BSC,221.5621,1.8928, 3.72,0.037,-0.026,-0.114,-6
HR 1567,8Pi 5Ori,BSC,73.5629,2.4406, 3.72,0.003,0,0,23
HR 8130,65Tau Cyg,BSC,318.6979,38.0456, 3.72,0.055,0.435,0.16,-21
HR 8079,62Xi  Cyg,BSC,316.2329,43.9278, 3.72,0.007,0.001,0.008,-20
HR 2077,33Del Aur,BSC,89.8817,54.2847, 3.72,0.022,-0.125,0.081,8
HR 3080,,BSC,118.0542,-40.5758, 3.73,0.031,0.003,-0.01,24
HR 539,55Zet Cet,BSC,27.865,-10.335, 3.73,0.031,-0.039,0.041,9
HR 1084,18Eps Eri,BSC,53.2325,-9.4583, 3.73,0.303,0.021,-0.974,15
HR 6771,72    Oph,BSC,271.8375,9.5639, 3.73,0.047,0.08,-0.06,-24
HR 8204,34Zet Cap,BSC,321.6667,-22.4114, 3.74,-0.01,0.023,0.001,3
HR 8698,73Lam Aqr,BSC,343.1537,-7.5797, 3.74,0.017,0.037,0.011,-9
HR 1038,2Xi  Tau,BSC,51.7925,9.7328, 3.74,-0.017,-0.039,0.06,-2
HR 3614,,BSC,136.0388,-47.0978, 3.75,0.02,-0.013,-0.044,24
HR 6629,62Gam Oph,BSC,266.9733,2.7072, 3.75,0.039,-0.074,-0.022,-7
HR 6095,20Gam Her,BSC,245.48,19.1531, 3.75,0.024,0.043,-0.047,-35
HR 1612,8Zet Aur,BSC,75.6196,41.0758, 3.75,0.005,-0.022,0.009,13
HR 6688,32Xi  Dra,BSC,268.3821,56.8728, 3.75,0.035,0.08,0.094,-26
HR 8571,27Del Cep,BSC,337.2929,58.4153, 3.75,0.011,0.001,0.015,-15
HR 8254,Nu  Oct,BSC,325.3687,-77.39, 3.76,0.053,-0.24,0.045,34
HR 1922,Bet Dor,BSC,83.4062,-62.4897, 3.76,0.012,0.009,0.002,7
HR 6229,Eta Ara,BSC,252.4462,-59.0414, 3.76,0.025,-0.028,0.038,9
HR 1373,61Del1Tau,BSC,65.7337,17.5425, 3.76,0.021,-0.03,0.107,39
HR 8430,24Iot Peg,BSC,331.7529,25.345, 3.76,0.082,0.025,0.298,-4
HR 834,15Eta Per,BSC,42.6742,55.8956, 3.76,0.006,-0.014,0.017,-1
HR 3347,Bet Vol,BSC,126.4342,-66.1369, 3.77,0.042,-0.155,-0.036,27
HR 7217,39Omi Sgr,BSC,286.1708,-21.7417, 3.77,0.044,-0.06,0.08,25
HR 7950,2Eps Aqr,BSC,311.9192,-9.4958, 3.77,0.021,-0.034,0.035,-16
HR 7906,9Alp Del,BSC,309.9096,15.9119, 3.77,0.008,-0.002,0.066,-3
HR 1135,41Nu  Per,BSC,56.2983,42.5786, 3.77,0.02,-0.002,-0.014,-13
HR 8585,7Alp Lac,BSC,337.8229,50.2825, 3.77,0.04,0.019,0.138,-4
HR 7328,1Kap Cyg,BSC,289.2758,53.3686, 3.77,0.024,0.125,0.059,-29
HR 2736,Gam2Vol,BSC,107.1871,-70.4989, 3.78,0.016,0.106,0.023,3
HR 4257,,BSC,163.3733,-58.8533, 3.78,0.059,0.03,0.067,8
HR 2650,43Zet Gem,BSC,106.0271,20.5703, 3.79,-0.006,0,-0.009,7
HR 2821,60Iot Gem,BSC,111.4317,27.7981, 3.79,0.032,-0.086,-0.123,8
HR 7735,31    Cyg,BSC,303.4079,46.7414, 3.79,0.007,0.003,0.004,-8
HR 7420,10Iot2Cyg,BSC,292.4262,51.7297, 3.79,0.005,0.13,0.02,-20
HR 5788,13Del Ser,BSC,233.7004,10.5375, 3.80,0.021,-0.005,-0.074,-38
HR 5789,13Del Ser,BSC,233.7004,10.5392, 3.80,0.021,0.012,-0.074,-42
HR 4058,41Gam2Leo,BSC,154.9942,19.8406, 3.80,0.022,-0.169,0.312,-36
HR 941,27Kap Per,BSC,47.3742,44.8572, 3.80,0.033,-0.157,0.177,29
HR 6588,85Iot Her,BSC,264.8662,46.0064, 3.80,0.005,0.005,-0.005,-20
HR 3888,29Ups UMa,BSC,147.7475,59.0386, 3.80,0.041,-0.151,-0.293,27
HR 2035,15Del Lep,BSC,87.8304,-20.8792, 3.81,0.022,-0.649,0.227,99
HR 4094,42Mu  Hya,BSC,156.5225,-16.8364, 3.81,0.018,-0.08,-0.128,40
HR 1931,48Sig Ori,BSC,84.6867,-2.6, 3.81,0.007,0.001,0.002,29
HR 4114,,BSC,156.9696,-58.7394, 3.82,0.01,0,-0.013,9
HR 1464,52Ups2Eri,BSC,68.8875,-30.5622, 3.82,-0.014,-0.012,-0.045,-4
HR 6149,10Lam Oph,BSC,247.7283,1.9839, 3.82,0.01,-0.073,-0.027,-14
HR 7536,7Del Sge,BSC,296.8471,18.5342, 3.82,0.001,0.008,0.007,3
HR 3690,38    Lyn,BSC,139.7112,36.8025, 3.82,0.042,-0.122,-0.03,4
HR 8961,16Lam And,BSC,354.3912,46.4581, 3.82,0.05,-0.421,0.162,7
HR 5470,Alp Aps,BSC,221.965,-79.0447, 3.83,0.029,-0.015,-0.012,-1
HR 5248,Phi Cen,BSC,209.5679,-42.1008, 3.83,,-0.021,-0.024,6
HR 6779,103Omi Her,BSC,271.8858,28.7625, 3.83,0.005,0.009,0.001,-30
HR 1131,38Omi Per,BSC,56.0796,32.2883, 3.83,0.023,-0.011,0.007,19
HR 4247,46    LMi,BSC,163.3279,34.215, 3.83,0.024,-0.278,0.087,16
HR 7582,63Eps Dra,BSC,297.0433,70.2678, 3.83,0.016,0.037,0.082,3
HR 3571,,BSC,133.7617,-60.6447, 3.84,,0.038,-0.021,25
HR 4167,,BSC,159.3254,-48.2258, 3.84,0.04,-0.017,-0.155,19
HR 3445,,BSC,130.1567,-46.6489, 3.84,0.031,0.003,0,25
HR 8518,48Gam Aqr,BSC,335.4142,-1.3872, 3.84,0.046,0.007,0.132,-15
HR 1411,77The1Tau,BSC,67.1438,15.9622, 3.84,0.038,-0.027,0.103,40
HR 6895,109    Her,BSC,275.9246,21.7697, 3.84,0.025,-0.242,0.196,-58
HR 5849,8Gam CrB,BSC,235.6858,26.2956, 3.84,0.033,0.045,-0.105,-11
HR 4434,1Lam Dra,BSC,172.8508,69.3311, 3.84,0.026,-0.017,-0.039,7
HR 1175,Bet Ret,BSC,56.05,-64.8069, 3.85,0.042,0.076,0.313,51
HR 6030,Del TrA,BSC,243.8596,-63.6856, 3.85,0.029,-0.011,0.002,-5
HR 2020,Bet Pic,BSC,86.8213,-51.0664, 3.85,0.061,0.085,0.011,20
HR 4023,,BSC,153.6842,-42.1219, 3.85,0.034,0.045,-0.145,7
HR 2296,Del Col,BSC,95.5283,-33.4364, 3.85,0.019,-0.055,-0.024,-3
HR 2749,28Ome CMa,BSC,108.7029,-26.7728, 3.85,,0.006,-0.008,26
HR 6973,Alp Sct,BSC,278.8017,-8.2442, 3.85,0.016,-0.312,-0.015,36
HR 4133,47Rho Leo,BSC,158.2029,9.3067, 3.85,0.011,-0.003,-0.007,42
HR 5933,41Gam Ser,BSC,239.1133,15.6617, 3.85,0.069,-1.281,0.312,7
HR 4802,Tau Cen,BSC,189.4258,-48.5411, 3.86,0.024,-0.005,-0.184,5
HR 1326,Alp Hor,BSC,63.5004,-42.2944, 3.86,0.026,-0.209,0.046,22
HR 6812,13Mu  Sgr,BSC,273.4408,-21.0589, 3.86,0.012,0.001,0.002,-6
HR 6695,91The Her,BSC,269.0633,37.2506, 3.86,0.002,0.006,0.004,-27
HR 4773,Gam Mus,BSC,188.1167,-72.1331, 3.87,,-0.002,-0.058,3
HR 5646,Kap1Lup,BSC,227.9837,-48.7378, 3.87,,-0.049,-0.095,-6
HR 5249,Ups1Cen,BSC,209.67,-44.8036, 3.87,,-0.024,-0.025,5
HR 1862,Eps Col,BSC,82.8029,-35.4706, 3.87,0.008,-0.035,0.022,-5
HR 963,Alp For,BSC,48.0179,-28.9869, 3.87,0.075,0.64,0.339,-21
HR 2580,16Omi1CMa,BSC,103.5329,-24.1839, 3.87,0.002,0.013,-0.008,36
HR 1481,53    Eri,BSC,69.545,-14.3039, 3.87,0.044,-0.156,-0.075,42
HR 1149,20    Tau,BSC,56.4567,24.3678, 3.87,,-0.046,0.02,8
HR 269,37Mu  And,BSC,14.1883,38.4994, 3.87,0.039,0.033,0.152,8
HR 4787,5Kap Dra,BSC,188.3708,69.7883, 3.87,0.013,0.012,-0.059,-11
HR 25,Eps Phe,BSC,2.3529,-45.7475, 3.88,0.066,-0.181,0.124,-9
HR 5089,,BSC,202.7612,-39.4075, 3.88,0.012,-0.015,-0.012,-2
HR 5928,5Rho Sco,BSC,239.2213,-29.2142, 3.88,,-0.025,-0.013,0
HR 5487,107Mu  Vir,BSC,220.765,-5.6583, 3.88,0.045,-0.316,0.109,5
HR 3665,22The Hya,BSC,138.5912,2.3142, 3.88,0.027,-0.31,0.129,-10
HR 3905,24Mu  Leo,BSC,148.1908,26.0069, 3.88,0.025,-0.056,-0.216,14
HR 6102,Gam Aps,BSC,248.3625,-78.8972, 3.89,0.056,-0.076,-0.131,5
HR 4390,Pi  Cen,BSC,170.2517,-54.4911, 3.89,0.011,-0.006,-0.036,9
HR 874,3Eta Eri,BSC,44.1071,-8.8981, 3.89,0.033,-0.22,0.079,-20
HR 4689,15Eta Vir,BSC,184.9767,-0.6669, 3.89,0.016,-0.018,-0.063,2
HR 7615,21Eta Cyg,BSC,299.0767,35.0833, 3.89,0.015,-0.027,-0.032,-27
HR 6092,22Tau Her,BSC,244.935,46.3133, 3.89,0.03,0.04,-0.011,-14
HR 8820,Iot Gru,BSC,347.59,-45.2467, 3.90,0.03,-0.03,0.136,-4
HR 3314,,BSC,126.415,-3.9064, 3.90,0.026,-0.023,-0.066,10
HR 7570,55Eta Aql,BSC,298.1183,1.0056, 3.90,0.01,-0.007,0.011,-15
HR 4337,,BSC,167.1475,-58.975, 3.91,-0.001,0,-0.007,7
HR 4743,Sig Cen,BSC,187.01,-50.2306, 3.91,,-0.015,-0.03,8
HR 3487,,BSC,131.5071,-46.0417, 3.91,0.003,0,-0.001,24
HR 5787,38Gam Lib,BSC,233.8817,-14.7894, 3.91,0.041,0.009,0.065,-28
HR 3845,35Iot Hya,BSC,144.9642,-1.1428, 3.91,0.026,-0.064,0.049,23
HR 1251,38Nu  Tau,BSC,60.7892,5.9892, 3.91,0.03,-0.003,0.005,-6
HR 338,Zet Phe,BSC,17.0963,-55.2458, 3.92,0.013,0.025,0.019,15
HR 8131,8Alp Equ,BSC,318.9558,5.2478, 3.92,0.021,-0.088,0.059,-16
HR 6324,58Eps Her,BSC,255.0725,30.9264, 3.92,0.028,0.028,-0.047,-25
HR 7340,44Rho1Sgr,BSC,290.4183,-17.8472, 3.93,0.042,0.024,-0.024,1
HR 2970,26Alp Mon,BSC,115.3117,-9.5511, 3.93,0.024,-0.019,-0.073,11
HR 1463,48Nu  Eri,BSC,69.0796,-3.3525, 3.93,,-0.005,0.002,15
HR 100,Kap Phe,BSC,6.5508,-43.68, 3.94,0.072,0.029,0.109,11
HR 4399,78Iot Leo,BSC,170.9812,10.5292, 3.94,0.052,-0.075,0.168,-10
HR 3461,47Del Cnc,BSC,131.1712,18.1542, 3.94,0.025,-0.228,-0.018,17
HR 8028,58Nu  Cyg,BSC,314.2933,41.1672, 3.94,0.01,-0.016,0.012,-28
HR 3024,Zet Vol,BSC,115.455,-72.6061, 3.95,0.017,0.018,0.03,48
HR 440,Del Phe,BSC,22.8129,-49.0728, 3.95,0.031,0.151,0.142,-7
HR 5883,5Chi Lup,BSC,237.7396,-33.6272, 3.95,,-0.03,-0.006,5
HR 2429,7Nu 2CMa,BSC,99.1708,-19.2558, 3.95,0.058,-0.062,0.059,3
HR 8667,47Lam Peg,BSC,341.6329,23.5656, 3.95,0.042,-0.01,0.058,-4
HR 854,18Tau Per,BSC,43.5646,52.7625, 3.95,0.019,-0.005,0,2
HR 5055,79Zet UMa,BSC,200.985,54.9217, 3.95,0.047,-0.028,0.119,-9
HR 7590,Eps Pav,BSC,300.1479,-72.9106, 3.96,0.016,-0.132,0.074,-2
HR 4638,Rho Cen,BSC,182.9129,-52.3686, 3.96,0.032,-0.016,-0.035,15
HR 2120,Eta Col,BSC,89.7867,-42.8153, 3.96,0.019,-0.014,0.022,17
HR 1393,43    Eri,BSC,66.0092,-34.0169, 3.96,-0.008,0.051,0.069,24
HR 2538,13Kap CMa,BSC,102.4604,-32.5086, 3.96,,0.004,-0.007,14
HR 2996,3    Pup,BSC,115.9521,-28.9547, 3.96,,0.005,0.002,25
HR 5993,9Ome1Sco,BSC,241.7017,-20.6692, 3.96,,-0.021,-0.009,-3
HR 3663,,BSC,137.8192,-62.3172, 3.97,,0.009,-0.043,18
HR 8556,Del1Gru,BSC,337.3175,-43.4956, 3.97,0.024,-0.005,0.028,5
HR 7348,Alp Sgr,BSC,290.9717,-40.6161, 3.97,,-0.123,0.03,-1
HR 3438,Bet Pyx,BSC,130.0258,-35.3083, 3.97,0.018,-0.022,0.012,-13
HR 8892,98    Aqr,BSC,350.7425,-20.1006, 3.97,0.036,-0.096,-0.12,-7
HR 6714,67    Oph,BSC,270.1613,2.9317, 3.97,-0.002,-0.008,0.002,-4
HR 2012,32Nu  Aur,BSC,87.8725,39.1486, 3.97,0.017,0.007,-0.005,10
HR 3579,,BSC,135.16,41.7828, 3.97,0.07,-0.246,-0.44,26
HR 2803,Del Vol,BSC,109.2075,-67.9572, 3.98,0.004,0.005,-0.007,23
HR 2227,5Gam Mon,BSC,93.7138,-6.2747, 3.98,0.013,-0.019,-0.008,-5
HR 7751,32    Cyg,BSC,303.8679,47.7144, 3.98,0.014,0.008,0.001,-14
HR 580,50    Cas,BSC,30.8587,72.4214, 3.98,,0.022,-0.045,-14
HR 8848,Gam Tuc,BSC,349.3575,-58.2358, 3.99,0.043,0.079,-0.029,18
HR 4102,,BSC,156.0988,-74.0317, 4.00,0.086,-0.026,-0.021,-4
HR 3615,Alp Vol,BSC,135.6117,-66.3961, 4.00,0.051,-0.096,-0.002,5
HR 868,,BSC,43.4704,-49.8903, 4.00,0.013,0.014,0.135,60
HR 5471,,BSC,220.49,-37.7936, 4.00,,-0.032,-0.023,1
HR 585,59Ups Cet,BSC,30.0012,-21.0778, 4.00,0.007,-0.024,0.135,18
HR 6982,Zet Pav,BSC,280.7588,-71.4281, 4.01,0.035,-0.156,-0.005,-16
HR 7337,Bet1Sgr,BSC,290.6596,-44.4589, 4.01,,-0.02,0.009,-11
HR 3518,Gam Pyx,BSC,132.6329,-27.71, 4.01,0.033,0.087,-0.13,25
HR 6027,14Nu  Sco,BSC,242.9987,-19.4606, 4.01,0.03,-0.023,-0.01,2
HR 8679,71Tau2Aqr,BSC,342.3979,-13.5925, 4.01,0.021,-0.038,-0.012,1
HR 9072,28Ome Psc,BSC,359.8279,6.8633, 4.01,0.018,-0.115,0.153,2
HR 7834,41    Cyg,BSC,307.3488,30.3686, 4.01,0.014,0,0.007,-18
HR 664,9Gam Tri,BSC,34.3288,33.8472, 4.01,0.039,-0.051,0.047,14
HR 5062,80    UMa,BSC,201.3062,54.9881, 4.01,0.045,-0.016,0.118,-9
HR 5986,13The Dra,BSC,240.4721,58.5653, 4.01,0.051,0.335,-0.32,-9
HR 6072,Gam2Nor,BSC,244.96,-50.1556, 4.02,0.044,-0.053,-0.155,-29
HR 4623,1Alp Crv,BSC,182.1033,-24.7289, 4.02,0.07,-0.04,0.086,4
HR 7193,12    Aql,BSC,285.42,-5.7389, 4.02,0.021,-0.033,-0.019,-44
HR 1520,57Mu  Eri,BSC,71.3754,-3.2547, 4.02,,-0.013,0.016,9
HR 8597,62Eta Aqr,BSC,338.8392,-0.1175, 4.02,0.025,-0.056,0.091,-8
HR 7176,13Eps Aql,BSC,284.9058,15.0683, 4.02,0.028,-0.073,-0.051,-48
HR 3475,48Iot Cnc,BSC,131.6742,28.76, 4.02,0.017,-0.042,-0.025,16
HR 8252,73Rho Cyg,BSC,323.4954,45.5919, 4.02,0.002,-0.094,-0.023,7
HR 4898,Mu 1Cru,BSC,193.6483,-57.1778, 4.03,,-0.006,-0.033,14
HR 6752,70    Oph,BSC,271.3637,2.4994, 4.03,0.201,-1.093,0.266,-7
HR 4517,3Nu  Vir,BSC,176.465,6.5294, 4.03,0.014,-0.184,-0.018,51
HR 7852,2Eps Del,BSC,308.3033,11.3033, 4.03,0.025,-0.022,0.013,-19
HR 1603,10Bet Cam,BSC,75.8546,60.4422, 4.03,0.009,-0.016,-0.006,-2
HR 4679,Zet Cru,BSC,184.6087,-64.0031, 4.04,,-0.01,-0.05,16
HR 1298,38Omi1Eri,BSC,62.9663,-6.8375, 4.04,0.033,0.082,0.01,11
HR 1228,46Xi  Per,BSC,59.7412,35.7911, 4.04,-0.004,0,0.002,70
HR 7157,13    Lyr,BSC,283.8337,43.9461, 4.04,0,0.083,0.023,-28
HR 1273,48    Per,BSC,62.1654,47.7125, 4.04,0.02,-0.03,0.021,1
HR 5453,Rho Lup,BSC,219.4717,-49.4258, 4.05,,-0.031,-0.024,8
HR 5626,Lam Lup,BSC,227.2108,-45.2797, 4.05,0.012,-0.019,-0.016,10
HR 5367,Psi Cen,BSC,215.1392,-37.8853, 4.05,0.003,-0.012,-0.063,-5
HR 5485,,BSC,220.9142,-35.1736, 4.05,0.014,-0.18,-0.064,-38
HR 4386,77Sig Leo,BSC,170.2842,6.0294, 4.05,0.001,-0.012,-0.092,-5
HR 937,Iot Per,BSC,47.2667,49.6133, 4.05,0.084,-0.091,1.263,50
HR 5404,23The Boo,BSC,216.2992,51.8508, 4.05,0.072,-0.397,-0.236,-11
HR 6295,Eps1Ara,BSC,254.8963,-53.1606, 4.06,0.005,0.017,0.004,23
HR 215,34Zet And,BSC,11.8346,24.2672, 4.06,0.037,-0.083,-0.1,-24
HR 2905,69Ups Gem,BSC,113.9804,26.8958, 4.06,0.014,-0.106,-0.034,-21
HR 3318,Alp Cha,BSC,124.6317,-76.9197, 4.07,0.053,0.108,0.11,-14
HR 5670,Bet Cir,BSC,229.3783,-58.8011, 4.07,0.053,-0.137,-0.1,10
HR 3477,,BSC,131.1,-42.6492, 4.07,0.051,0.018,-0.012,-2
HR 8075,23The Cap,BSC,316.4867,-17.2328, 4.07,0.017,-0.06,0.083,-11
HR 2574,14The CMa,BSC,103.5475,-12.0386, 4.07,0.022,-0.013,-0.137,97
HR 779,82Del Cet,BSC,39.8708,0.3286, 4.07,0.001,-0.004,0.014,13
HR 1580,9Omi2Ori,BSC,74.0929,13.5144, 4.07,0.019,-0.047,-0.074,1
HR 5200,5Ups Boo,BSC,207.3692,15.7978, 4.07,0.011,0.042,-0.095,-6
HR 496,Phi Per,BSC,25.915,50.6886, 4.07,0.025,-0.014,0.026,1
HR 3825,,BSC,143.6113,-59.2294, 4.08,,0.014,-0.012,22
HR 4287,7Alp Crt,BSC,164.9438,-18.2989, 4.08,0.031,0.13,-0.46,47
HR 4405,15Gam Crt,BSC,171.2204,-17.6839, 4.08,0.028,0.004,-0.098,1
HR 5338,99Iot Vir,BSC,214.0038,-6.0006, 4.08,0.043,-0.432,-0.004,12
HR 8173,1    Peg,BSC,320.5217,19.8044, 4.08,0.014,0.064,0.106,-76
HR 8316,Mu  Cep,BSC,325.8767,58.78, 4.08,0.003,-0.003,0.003,19
HR 705,Del Hyi,BSC,35.4371,-68.6594, 4.09,0.05,0.002,-0.05,6
HR 919,11Tau3Eri,BSC,45.5979,-23.6244, 4.09,0.059,-0.054,-0.145,-10
HR 1907,40Phi2Ori,BSC,84.2262,9.2906, 4.09,0.03,-0.305,0.091,99
HR 5879,35Kap Ser,BSC,237.185,18.1417, 4.09,0.021,-0.088,-0.051,-39
HR 458,50Ups And,BSC,24.1992,41.4056, 4.09,0.062,-0.382,-0.171,-28
HR 4174,Gam Cha,BSC,158.8671,-78.6078, 4.11,0.009,0.014,-0.042,-22
HR 806,Eps Hyi,BSC,39.8975,-68.2669, 4.11,,-0.002,0.086,6
