---,StarNameFString,CatalogFString,StarNumberInt,RightAscenstion,Declination,ProperMotionInRightAscension,ProperMotionInDeclination,Parallax,RadialVelocity,OptionalVisualMagnitude
HR5681,49Del Boo,BSC,0,228.8758,33.3147,0.086,-0.112,0.03,-12,3.47
HR6406,64Alp1Her,BSC,0,258.6621,14.3903,-0.006,0.036,-0.002,-33,3.48
HR8684,48Mu  Peg,BSC,0,342.5008,24.6017,0.147,-0.042,0.04,14,3.48
HR4377,54Nu  UMa,BSC,0,169.6196,33.0942,-0.026,0.028,0.02,-9,3.48
HR8675,Eps Gru,BSC,0,342.1388,-51.3169,0.108,-0.071,0.044,0,3.49
HR509,52Tau Cet,BSC,0,26.0171,-15.9375,-1.718,0.856,0.275,-16,3.5
HR5602,42Bet Boo,BSC,0,225.4867,40.3906,-0.041,-0.028,0.037,-20,3.5
HR6897,Alp Tel,BSC,0,276.7433,-45.9683,-0.016,-0.054,,0,3.51
HR7150,37Xi 2Sgr,BSC,0,284.4325,-21.1067,0.033,-0.012,0.011,-20,3.51
HR3249,17Bet Cnc,BSC,0,124.1288,9.1856,-0.044,-0.049,0.012,22,3.52
HR3852,14Omi Leo,BSC,0,145.2875,9.8922,-0.142,-0.037,0.034,27,3.52
HR3975,30Eta Leo,BSC,0,151.8333,16.7628,-0.002,0,0.003,3,3.52
HR8694,32Iot Cep,BSC,0,342.42,66.2006,-0.065,-0.125,0.041,-12,3.52
HR5881,32Mu  Ser,BSC,0,237.405,-3.4303,-0.086,-0.024,0.007,-9,3.53
HR8450,26The Peg,BSC,0,332.55,6.1978,0.276,0.027,0.049,-6,3.53
HR1409,74Eps Tau,BSC,0,67.1542,19.1803,0.107,-0.038,0.02,39,3.53
HR2777,55Del Gem,BSC,0,110.0308,21.9822,-0.026,-0.012,0.061,4,3.53
HR6220,44Eta Her,BSC,0,250.7242,38.9222,0.037,-0.083,0.034,8,3.53
HR3940,Phi Vel,BSC,0,149.2158,-54.5678,-0.01,0.003,,14,3.54
HR4450,Xi  Hya,BSC,0,173.2504,-31.8578,-0.206,-0.04,0.027,-5,3.54
HR6561,55Xi  Ser,BSC,0,264.3967,-15.3986,-0.042,-0.058,0.03,-43,3.54
HR1136,23Del Eri,BSC,0,55.8121,-9.7633,-0.092,0.745,0.109,-6,3.54
HR1879,39Lam Ori,BSC,0,83.7846,9.9342,0,-0.006,0.007,34,3.54
HR5354,Iot Lup,BSC,0,214.8508,-46.0578,-0.013,0.002,,22,3.55
HR1998,14Zet Lep,BSC,0,86.7387,-14.8219,-0.016,-0.001,0.049,20,3.55
HR7665,Del Pav,BSC,0,302.1817,-66.1819,1.207,-1.131,0.17,-22,3.56
HR674,Phi Eri,BSC,0,34.1275,-51.5122,0.096,-0.027,,10,3.56
HR5705,Phi1Lup,BSC,0,230.4517,-36.2614,-0.089,-0.084,0.014,-29,3.56
HR1347,41Ups4Eri,BSC,0,64.4737,-33.7983,0.067,-0.008,,18,3.56
HR4382,12Del Crt,BSC,0,169.8354,-14.7786,-0.122,0.208,0.024,-5,3.56
HR74,8Iot Cet,BSC,0,4.8571,-8.8239,-0.014,-0.036,0.013,19,3.56
HR6252,Mu 2Sco,BSC,0,253.0838,-38.0175,-0.011,-0.024,,1,3.57
HR7754,6Alp2Cap,BSC,0,304.5138,-12.5447,0.064,0.004,0.034,0,3.57
HR2985,77Kap Gem,BSC,0,116.1117,24.3981,-0.033,-0.052,0.026,21,3.57
HR464,51    And,BSC,0,24.4983,48.6283,0.065,-0.113,0.021,16,3.57
HR6927,44Chi Dra,BSC,0,275.2642,72.7328,0.532,-0.35,0.12,33,3.57
HR5794,39Ups Lib,BSC,0,234.2563,-28.135,-0.009,0.003,0.044,-25,3.58
HR2763,54Lam Gem,BSC,0,109.5233,16.5403,-0.048,-0.037,0.047,-9,3.58
HR5429,25Rho Boo,BSC,0,217.9575,30.3714,-0.1,0.119,0.029,-14,3.58
HR4700,Eps Cru,BSC,0,185.34,-60.4011,-0.175,0.087,0.026,-5,3.59
HR3786,Psi Vel,BSC,0,142.675,-40.4667,-0.182,0.073,0.065,9,3.6
HR1983,13Gam Lep,BSC,0,86.1158,-22.4483,-0.293,-0.37,0.128,-10,3.6
HR402,45The Cet,BSC,0,21.0058,-8.1833,-0.079,-0.218,0.041,17,3.6
HR1735,20Tau Ori,BSC,0,79.4017,-6.8444,-0.015,-0.008,0.006,20,3.6
HR1030,1Omi Tau,BSC,0,51.2033,9.0289,-0.066,-0.078,0.016,-21,3.6
HR2540,34The Gem,BSC,0,103.1971,33.9611,-0.002,-0.048,0.021,21,3.6
HR3594,12Kap UMa,BSC,0,135.9062,47.1567,-0.033,-0.054,0.016,4,3.6
HR3017,,BSC,0,116.3138,-37.9686,-0.01,0.002,0.006,17,3.61
HR3994,41Lam Hya,BSC,0,152.6471,-12.3542,-0.202,-0.089,0.027,19,3.61
HR4540,5Bet Vir,BSC,0,177.6738,1.7647,0.743,-0.271,0.104,5,3.61
HR4923,Del Mus,BSC,0,195.5675,-71.5489,0.256,-0.021,0.03,37,3.62
HR6582,Eta Pav,BSC,0,266.4333,-64.7239,-0.014,-0.054,0.025,-8,3.62
HR6500,Del Ara,BSC,0,262.7746,-60.6839,-0.059,-0.096,,10,3.62
HR3447,,BSC,0,130.0733,-52.9219,-0.022,0.019,,16,3.62
HR6271,Zet2Sco,BSC,0,253.6458,-42.3614,-0.124,-0.236,0.028,-19,3.62
HR437,99Eta Psc,BSC,0,22.8708,15.3458,0.028,-0.006,0.015,15,3.62
HR8762,1Omi And,BSC,0,345.4804,42.3261,0.023,-0.006,0.015,-14,3.62
HR7882,6Bet Del,BSC,0,309.3875,14.5953,0.113,-0.033,0.028,-23,3.63
HR1178,27    Tau,BSC,0,57.2904,24.0533,0.018,-0.047,-0.026,9,3.63
HR838,41    Ari,BSC,0,42.4958,27.2606,0.067,-0.118,0.034,4,3.63
HR4520,Lam Mus,BSC,0,176.4017,-66.7286,-0.103,0.037,,16,3.64
HR7986,Bet Ind,BSC,0,313.7025,-58.4542,0.017,-0.026,-0.005,-5,3.65
HR4825,29Gam Vir,BSC,0,190.415,-1.4494,-0.565,0.012,0.099,-20,3.65
HR1346,54Gam Tau,BSC,0,64.9483,15.6275,0.115,-0.025,0.028,39,3.65
HR5291,11Alp Dra,BSC,0,211.0971,64.3758,-0.055,0.018,0.018,-13,3.65
HR6743,The Ara,BSC,0,271.6579,-50.0917,-0.01,-0.014,,3,3.66
HR5812,40Tau Lib,BSC,0,234.6642,-29.7778,-0.015,-0.03,,3,3.66
HR8812,88    Aqr,BSC,0,347.3617,-21.1725,0.055,0.031,0.01,21,3.66
HR153,17Zet Cas,BSC,0,9.2429,53.8969,0.019,-0.009,0.004,2,3.66
HR5867,28Bet Ser,BSC,0,236.5471,15.4219,0.067,-0.045,0.041,-1,3.67
HR3757,23    UMa,BSC,0,142.8821,63.0619,0.109,0.028,0.041,-10,3.67
HR3468,Alp Pyx,BSC,0,130.8979,-33.1864,-0.011,0.011,,15,3.68
HR8278,40Gam Cap,BSC,0,325.0229,-16.6622,0.19,-0.023,0.029,-31,3.68
HR4826,29Gam Vir,BSC,0,190.415,-1.4494,-0.565,0.012,0.099,-20,3.68
HR5747,3Bet CrB,BSC,0,231.9571,29.1058,-0.179,0.086,0.032,-19,3.68
HR3884,,BSC,0,146.3117,-62.5078,-0.014,0.007,0.027,3,3.69
HR1003,16Tau4Eri,BSC,0,49.8792,-21.7578,0.052,0.033,-0.013,42,3.69
HR8852,6Gam Psc,BSC,0,349.2913,3.2822,0.762,0.017,0.036,-14,3.69
HR1552,3Pi 4Ori,BSC,0,72.8017,5.605,-0.001,0.001,0.001,23,3.69
HR566,Chi Eri,BSC,0,28.9896,-51.6089,0.681,0.292,0.058,-6,3.7
HR1142,17    Tau,BSC,0,56.2188,24.1133,0.019,-0.046,0.02,12,3.7
HR6703,92Xi  Her,BSC,0,269.4413,29.2478,0.084,-0.017,0.021,-2,3.7
HR2085,16Eta Lep,BSC,0,89.1012,-14.1678,-0.042,0.139,0.066,-2,3.71
HR5892,37Eps Ser,BSC,0,237.7042,4.4778,0.128,0.063,0.041,-9,3.71
HR7602,60Bet Aql,BSC,0,298.8283,6.4067,0.048,-0.482,0.07,-40,3.71
HR4518,63Chi UMa,BSC,0,176.5125,47.7794,-0.137,0.03,0.019,-9,3.71
HR5511,109    Vir,BSC,0,221.5621,1.8928,-0.114,-0.026,0.037,-6,3.72
HR1567,8Pi 5Ori,BSC,0,73.5629,2.4406,0,0,0.003,23,3.72
HR8130,65Tau Cyg,BSC,0,318.6979,38.0456,0.16,0.435,0.055,-21,3.72
HR8079,62Xi  Cyg,BSC,0,316.2329,43.9278,0.008,0.001,0.007,-20,3.72
HR2077,33Del Aur,BSC,0,89.8817,54.2847,0.081,-0.125,0.022,8,3.72
HR3080,,BSC,0,118.0542,-40.5758,-0.01,0.003,0.031,24,3.73
HR539,55Zet Cet,BSC,0,27.865,-10.335,0.041,-0.039,0.031,9,3.73
HR1084,18Eps Eri,BSC,0,53.2325,-9.4583,-0.974,0.021,0.303,15,3.73
HR6771,72    Oph,BSC,0,271.8375,9.5639,-0.06,0.08,0.047,-24,3.73
HR8204,34Zet Cap,BSC,0,321.6667,-22.4114,0.001,0.023,-0.01,3,3.74
HR8698,73Lam Aqr,BSC,0,343.1537,-7.5797,0.011,0.037,0.017,-9,3.74
HR1038,2Xi  Tau,BSC,0,51.7925,9.7328,0.06,-0.039,-0.017,-2,3.74
HR3614,,BSC,0,136.0388,-47.0978,-0.044,-0.013,0.02,24,3.75
HR6629,62Gam Oph,BSC,0,266.9733,2.7072,-0.022,-0.074,0.039,-7,3.75
HR6095,20Gam Her,BSC,0,245.48,19.1531,-0.047,0.043,0.024,-35,3.75
HR1612,8Zet Aur,BSC,0,75.6196,41.0758,0.009,-0.022,0.005,13,3.75
HR6688,32Xi  Dra,BSC,0,268.3821,56.8728,0.094,0.08,0.035,-26,3.75
HR8571,27Del Cep,BSC,0,337.2929,58.4153,0.015,0.001,0.011,-15,3.75
HR8254,Nu  Oct,BSC,0,325.3687,-77.39,0.045,-0.24,0.053,34,3.76
HR1922,Bet Dor,BSC,0,83.4062,-62.4897,0.002,0.009,0.012,7,3.76
HR6229,Eta Ara,BSC,0,252.4462,-59.0414,0.038,-0.028,0.025,9,3.76
HR1373,61Del1Tau,BSC,0,65.7337,17.5425,0.107,-0.03,0.021,39,3.76
HR8430,24Iot Peg,BSC,0,331.7529,25.345,0.298,0.025,0.082,-4,3.76
HR834,15Eta Per,BSC,0,42.6742,55.8956,0.017,-0.014,0.006,-1,3.76
HR3347,Bet Vol,BSC,0,126.4342,-66.1369,-0.036,-0.155,0.042,27,3.77
HR7217,39Omi Sgr,BSC,0,286.1708,-21.7417,0.08,-0.06,0.044,25,3.77
HR7950,2Eps Aqr,BSC,0,311.9192,-9.4958,0.035,-0.034,0.021,-16,3.77
HR7906,9Alp Del,BSC,0,309.9096,15.9119,0.066,-0.002,0.008,-3,3.77
HR1135,41Nu  Per,BSC,0,56.2983,42.5786,-0.014,-0.002,0.02,-13,3.77
HR8585,7Alp Lac,BSC,0,337.8229,50.2825,0.138,0.019,0.04,-4,3.77
HR7328,1Kap Cyg,BSC,0,289.2758,53.3686,0.059,0.125,0.024,-29,3.77
HR2736,Gam2Vol,BSC,0,107.1871,-70.4989,0.023,0.106,0.016,3,3.78
HR4257,,BSC,0,163.3733,-58.8533,0.067,0.03,0.059,8,3.78
HR2650,43Zet Gem,BSC,0,106.0271,20.5703,-0.009,0,-0.006,7,3.79
HR2821,60Iot Gem,BSC,0,111.4317,27.7981,-0.123,-0.086,0.032,8,3.79
HR7735,31    Cyg,BSC,0,303.4079,46.7414,0.004,0.003,0.007,-8,3.79
HR7420,10Iot2Cyg,BSC,0,292.4262,51.7297,0.02,0.13,0.005,-20,3.79
HR5788,13Del Ser,BSC,0,233.7004,10.5375,-0.074,-0.005,0.021,-38,3.8
HR5789,13Del Ser,BSC,0,233.7004,10.5392,-0.074,0.012,0.021,-42,3.8
HR4058,41Gam2Leo,BSC,0,154.9942,19.8406,0.312,-0.169,0.022,-36,3.8
HR941,27Kap Per,BSC,0,47.3742,44.8572,0.177,-0.157,0.033,29,3.8
HR6588,85Iot Her,BSC,0,264.8662,46.0064,-0.005,0.005,0.005,-20,3.8
HR3888,29Ups UMa,BSC,0,147.7475,59.0386,-0.293,-0.151,0.041,27,3.8
HR2035,15Del Lep,BSC,0,87.8304,-20.8792,0.227,-0.649,0.022,99,3.81
HR4094,42Mu  Hya,BSC,0,156.5225,-16.8364,-0.128,-0.08,0.018,40,3.81
HR1931,48Sig Ori,BSC,0,84.6867,-2.6,0.002,0.001,0.007,29,3.81
HR4114,,BSC,0,156.9696,-58.7394,-0.013,0,0.01,9,3.82
HR1464,52Ups2Eri,BSC,0,68.8875,-30.5622,-0.045,-0.012,-0.014,-4,3.82
HR6149,10Lam Oph,BSC,0,247.7283,1.9839,-0.027,-0.073,0.01,-14,3.82
HR7536,7Del Sge,BSC,0,296.8471,18.5342,0.007,0.008,0.001,3,3.82
HR3690,38    Lyn,BSC,0,139.7112,36.8025,-0.03,-0.122,0.042,4,3.82
HR8961,16Lam And,BSC,0,354.3912,46.4581,0.162,-0.421,0.05,7,3.82
HR5470,Alp Aps,BSC,0,221.965,-79.0447,-0.012,-0.015,0.029,-1,3.83
HR5248,Phi Cen,BSC,0,209.5679,-42.1008,-0.024,-0.021,,6,3.83
HR6779,103Omi Her,BSC,0,271.8858,28.7625,0.001,0.009,0.005,-30,3.83
HR1131,38Omi Per,BSC,0,56.0796,32.2883,0.007,-0.011,0.023,19,3.83
HR4247,46    LMi,BSC,0,163.3279,34.215,0.087,-0.278,0.024,16,3.83
HR7582,63Eps Dra,BSC,0,297.0433,70.2678,0.082,0.037,0.016,3,3.83
HR3571,,BSC,0,133.7617,-60.6447,-0.021,0.038,,25,3.84
HR4167,,BSC,0,159.3254,-48.2258,-0.155,-0.017,0.04,19,3.84
HR3445,,BSC,0,130.1567,-46.6489,0,0.003,0.031,25,3.84
HR8518,48Gam Aqr,BSC,0,335.4142,-1.3872,0.132,0.007,0.046,-15,3.84
HR1411,77The1Tau,BSC,0,67.1438,15.9622,0.103,-0.027,0.038,40,3.84
HR6895,109    Her,BSC,0,275.9246,21.7697,0.196,-0.242,0.025,-58,3.84
HR5849,8Gam CrB,BSC,0,235.6858,26.2956,-0.105,0.045,0.033,-11,3.84
HR4434,1Lam Dra,BSC,0,172.8508,69.3311,-0.039,-0.017,0.026,7,3.84
HR1175,Bet Ret,BSC,0,56.05,-64.8069,0.313,0.076,0.042,51,3.85
HR6030,Del TrA,BSC,0,243.8596,-63.6856,0.002,-0.011,0.029,-5,3.85
HR2020,Bet Pic,BSC,0,86.8213,-51.0664,0.011,0.085,0.061,20,3.85
HR4023,,BSC,0,153.6842,-42.1219,-0.145,0.045,0.034,7,3.85
HR2296,Del Col,BSC,0,95.5283,-33.4364,-0.024,-0.055,0.019,-3,3.85
HR2749,28Ome CMa,BSC,0,108.7029,-26.7728,-0.008,0.006,,26,3.85
HR6973,Alp Sct,BSC,0,278.8017,-8.2442,-0.015,-0.312,0.016,36,3.85
HR4133,47Rho Leo,BSC,0,158.2029,9.3067,-0.007,-0.003,0.011,42,3.85
HR5933,41Gam Ser,BSC,0,239.1133,15.6617,0.312,-1.281,0.069,7,3.85
HR4802,Tau Cen,BSC,0,189.4258,-48.5411,-0.184,-0.005,0.024,5,3.86
HR1326,Alp Hor,BSC,0,63.5004,-42.2944,0.046,-0.209,0.026,22,3.86
HR6812,13Mu  Sgr,BSC,0,273.4408,-21.0589,0.002,0.001,0.012,-6,3.86
HR6695,91The Her,BSC,0,269.0633,37.2506,0.004,0.006,0.002,-27,3.86
HR4773,Gam Mus,BSC,0,188.1167,-72.1331,-0.058,-0.002,,3,3.87
HR5646,Kap1Lup,BSC,0,227.9837,-48.7378,-0.095,-0.049,,-6,3.87
HR5249,Ups1Cen,BSC,0,209.67,-44.8036,-0.025,-0.024,,5,3.87
HR1862,Eps Col,BSC,0,82.8029,-35.4706,0.022,-0.035,0.008,-5,3.87
HR963,Alp For,BSC,0,48.0179,-28.9869,0.339,0.64,0.075,-21,3.87
HR2580,16Omi1CMa,BSC,0,103.5329,-24.1839,-0.008,0.013,0.002,36,3.87
HR1481,53    Eri,BSC,0,69.545,-14.3039,-0.075,-0.156,0.044,42,3.87
HR1149,20    Tau,BSC,0,56.4567,24.3678,0.02,-0.046,,8,3.87
HR269,37Mu  And,BSC,0,14.1883,38.4994,0.152,0.033,0.039,8,3.87
HR4787,5Kap Dra,BSC,0,188.3708,69.7883,-0.059,0.012,0.013,-11,3.87
HR25,Eps Phe,BSC,0,2.3529,-45.7475,0.124,-0.181,0.066,-9,3.88
HR5089,,BSC,0,202.7612,-39.4075,-0.012,-0.015,0.012,-2,3.88
HR5928,5Rho Sco,BSC,0,239.2213,-29.2142,-0.013,-0.025,,0,3.88
HR5487,107Mu  Vir,BSC,0,220.765,-5.6583,0.109,-0.316,0.045,5,3.88
HR3665,22The Hya,BSC,0,138.5912,2.3142,0.129,-0.31,0.027,-10,3.88
HR3905,24Mu  Leo,BSC,0,148.1908,26.0069,-0.216,-0.056,0.025,14,3.88
HR6102,Gam Aps,BSC,0,248.3625,-78.8972,-0.131,-0.076,0.056,5,3.89
HR4390,Pi  Cen,BSC,0,170.2517,-54.4911,-0.036,-0.006,0.011,9,3.89
HR874,3Eta Eri,BSC,0,44.1071,-8.8981,0.079,-0.22,0.033,-20,3.89
HR4689,15Eta Vir,BSC,0,184.9767,-0.6669,-0.063,-0.018,0.016,2,3.89
HR7615,21Eta Cyg,BSC,0,299.0767,35.0833,-0.032,-0.027,0.015,-27,3.89
HR6092,22Tau Her,BSC,0,244.935,46.3133,-0.011,0.04,0.03,-14,3.89
HR8820,Iot Gru,BSC,0,347.59,-45.2467,0.136,-0.03,0.03,-4,3.9
HR3314,,BSC,0,126.415,-3.9064,-0.066,-0.023,0.026,10,3.9
HR7570,55Eta Aql,BSC,0,298.1183,1.0056,0.011,-0.007,0.01,-15,3.9
HR4337,,BSC,0,167.1475,-58.975,-0.007,0,-0.001,7,3.91
HR4743,Sig Cen,BSC,0,187.01,-50.2306,-0.03,-0.015,,8,3.91
HR3487,,BSC,0,131.5071,-46.0417,-0.001,0,0.003,24,3.91
HR5787,38Gam Lib,BSC,0,233.8817,-14.7894,0.065,0.009,0.041,-28,3.91
HR3845,35Iot Hya,BSC,0,144.9642,-1.1428,0.049,-0.064,0.026,23,3.91
HR1251,38Nu  Tau,BSC,0,60.7892,5.9892,0.005,-0.003,0.03,-6,3.91
HR338,Zet Phe,BSC,0,17.0963,-55.2458,0.019,0.025,0.013,15,3.92
HR8131,8Alp Equ,BSC,0,318.9558,5.2478,0.059,-0.088,0.021,-16,3.92
HR6324,58Eps Her,BSC,0,255.0725,30.9264,-0.047,0.028,0.028,-25,3.92
HR7340,44Rho1Sgr,BSC,0,290.4183,-17.8472,-0.024,0.024,0.042,1,3.93
HR2970,26Alp Mon,BSC,0,115.3117,-9.5511,-0.073,-0.019,0.024,11,3.93
HR1463,48Nu  Eri,BSC,0,69.0796,-3.3525,0.002,-0.005,,15,3.93
HR100,Kap Phe,BSC,0,6.5508,-43.68,0.109,0.029,0.072,11,3.94
HR4399,78Iot Leo,BSC,0,170.9812,10.5292,0.168,-0.075,0.052,-10,3.94
HR3461,47Del Cnc,BSC,0,131.1712,18.1542,-0.018,-0.228,0.025,17,3.94
HR8028,58Nu  Cyg,BSC,0,314.2933,41.1672,0.012,-0.016,0.01,-28,3.94
HR3024,Zet Vol,BSC,0,115.455,-72.6061,0.03,0.018,0.017,48,3.95
HR440,Del Phe,BSC,0,22.8129,-49.0728,0.142,0.151,0.031,-7,3.95
HR5883,5Chi Lup,BSC,0,237.7396,-33.6272,-0.006,-0.03,,5,3.95
HR2429,7Nu 2CMa,BSC,0,99.1708,-19.2558,0.059,-0.062,0.058,3,3.95
HR8667,47Lam Peg,BSC,0,341.6329,23.5656,0.058,-0.01,0.042,-4,3.95
HR854,18Tau Per,BSC,0,43.5646,52.7625,0,-0.005,0.019,2,3.95
HR5055,79Zet UMa,BSC,0,200.985,54.9217,0.119,-0.028,0.047,-9,3.95
HR7590,Eps Pav,BSC,0,300.1479,-72.9106,0.074,-0.132,0.016,-2,3.96
HR4638,Rho Cen,BSC,0,182.9129,-52.3686,-0.035,-0.016,0.032,15,3.96
HR2120,Eta Col,BSC,0,89.7867,-42.8153,0.022,-0.014,0.019,17,3.96
HR1393,43    Eri,BSC,0,66.0092,-34.0169,0.069,0.051,-0.008,24,3.96
HR2538,13Kap CMa,BSC,0,102.4604,-32.5086,-0.007,0.004,,14,3.96
HR2996,3    Pup,BSC,0,115.9521,-28.9547,0.002,0.005,,25,3.96
HR5993,9Ome1Sco,BSC,0,241.7017,-20.6692,-0.009,-0.021,,-3,3.96
HR3663,,BSC,0,137.8192,-62.3172,-0.043,0.009,,18,3.97
HR8556,Del1Gru,BSC,0,337.3175,-43.4956,0.028,-0.005,0.024,5,3.97
HR7348,Alp Sgr,BSC,0,290.9717,-40.6161,0.03,-0.123,,-1,3.97
HR3438,Bet Pyx,BSC,0,130.0258,-35.3083,0.012,-0.022,0.018,-13,3.97
HR8892,98    Aqr,BSC,0,350.7425,-20.1006,-0.12,-0.096,0.036,-7,3.97
HR6714,67    Oph,BSC,0,270.1613,2.9317,0.002,-0.008,-0.002,-4,3.97
HR2012,32Nu  Aur,BSC,0,87.8725,39.1486,-0.005,0.007,0.017,10,3.97
HR3579,,BSC,0,135.16,41.7828,-0.44,-0.246,0.07,26,3.97
HR2803,Del Vol,BSC,0,109.2075,-67.9572,-0.007,0.005,0.004,23,3.98
HR2227,5Gam Mon,BSC,0,93.7138,-6.2747,-0.008,-0.019,0.013,-5,3.98
HR7751,32    Cyg,BSC,0,303.8679,47.7144,0.001,0.008,0.014,-14,3.98
HR580,50    Cas,BSC,0,30.8587,72.4214,-0.045,0.022,,-14,3.98
HR8848,Gam Tuc,BSC,0,349.3575,-58.2358,-0.029,0.079,0.043,18,3.99
HR4102,,BSC,0,156.0988,-74.0317,-0.021,-0.026,0.086,-4,4
HR3615,Alp Vol,BSC,0,135.6117,-66.3961,-0.002,-0.096,0.051,5,4
HR868,,BSC,0,43.4704,-49.8903,0.135,0.014,0.013,60,4
HR5471,,BSC,0,220.49,-37.7936,-0.023,-0.032,,1,4
HR585,59Ups Cet,BSC,0,30.0012,-21.0778,0.135,-0.024,0.007,18,4
HR6982,Zet Pav,BSC,0,280.7588,-71.4281,-0.005,-0.156,0.035,-16,4.01
HR7337,Bet1Sgr,BSC,0,290.6596,-44.4589,0.009,-0.02,,-11,4.01
HR3518,Gam Pyx,BSC,0,132.6329,-27.71,-0.13,0.087,0.033,25,4.01
HR6027,14Nu  Sco,BSC,0,242.9987,-19.4606,-0.01,-0.023,0.03,2,4.01
HR8679,71Tau2Aqr,BSC,0,342.3979,-13.5925,-0.012,-0.038,0.021,1,4.01
HR9072,28Ome Psc,BSC,0,359.8279,6.8633,0.153,-0.115,0.018,2,4.01
HR7834,41    Cyg,BSC,0,307.3488,30.3686,0.007,0,0.014,-18,4.01
HR664,9Gam Tri,BSC,0,34.3288,33.8472,0.047,-0.051,0.039,14,4.01
HR5062,80    UMa,BSC,0,201.3062,54.9881,0.118,-0.016,0.045,-9,4.01
HR5986,13The Dra,BSC,0,240.4721,58.5653,-0.32,0.335,0.051,-9,4.01
HR6072,Gam2Nor,BSC,0,244.96,-50.1556,-0.155,-0.053,0.044,-29,4.02
HR4623,1Alp Crv,BSC,0,182.1033,-24.7289,0.086,-0.04,0.07,4,4.02
HR7193,12    Aql,BSC,0,285.42,-5.7389,-0.019,-0.033,0.021,-44,4.02
HR1520,57Mu  Eri,BSC,0,71.3754,-3.2547,0.016,-0.013,,9,4.02
HR8597,62Eta Aqr,BSC,0,338.8392,-0.1175,0.091,-0.056,0.025,-8,4.02
HR7176,13Eps Aql,BSC,0,284.9058,15.0683,-0.051,-0.073,0.028,-48,4.02
HR3475,48Iot Cnc,BSC,0,131.6742,28.76,-0.025,-0.042,0.017,16,4.02
HR8252,73Rho Cyg,BSC,0,323.4954,45.5919,-0.023,-0.094,0.002,7,4.02
HR4898,Mu 1Cru,BSC,0,193.6483,-57.1778,-0.033,-0.006,,14,4.03
HR6752,70    Oph,BSC,0,271.3637,2.4994,0.266,-1.093,0.201,-7,4.03
HR4517,3Nu  Vir,BSC,0,176.465,6.5294,-0.018,-0.184,0.014,51,4.03
HR7852,2Eps Del,BSC,0,308.3033,11.3033,0.013,-0.022,0.025,-19,4.03
HR1603,10Bet Cam,BSC,0,75.8546,60.4422,-0.006,-0.016,0.009,-2,4.03
HR4679,Zet Cru,BSC,0,184.6087,-64.0031,-0.05,-0.01,,16,4.04
HR1298,38Omi1Eri,BSC,0,62.9663,-6.8375,0.01,0.082,0.033,11,4.04
HR1228,46Xi  Per,BSC,0,59.7412,35.7911,0.002,0,-0.004,70,4.04
HR7157,13    Lyr,BSC,0,283.8337,43.9461,0.023,0.083,0,-28,4.04
HR1273,48    Per,BSC,0,62.1654,47.7125,0.021,-0.03,0.02,1,4.04
HR5453,Rho Lup,BSC,0,219.4717,-49.4258,-0.024,-0.031,,8,4.05
HR5626,Lam Lup,BSC,0,227.2108,-45.2797,-0.016,-0.019,0.012,10,4.05
HR5367,Psi Cen,BSC,0,215.1392,-37.8853,-0.063,-0.012,0.003,-5,4.05
HR5485,,BSC,0,220.9142,-35.1736,-0.064,-0.18,0.014,-38,4.05
HR4386,77Sig Leo,BSC,0,170.2842,6.0294,-0.092,-0.012,0.001,-5,4.05
HR937,Iot Per,BSC,0,47.2667,49.6133,1.263,-0.091,0.084,50,4.05
HR5404,23The Boo,BSC,0,216.2992,51.8508,-0.236,-0.397,0.072,-11,4.05
HR6295,Eps1Ara,BSC,0,254.8963,-53.1606,0.004,0.017,0.005,23,4.06
HR215,34Zet And,BSC,0,11.8346,24.2672,-0.1,-0.083,0.037,-24,4.06
HR2905,69Ups Gem,BSC,0,113.9804,26.8958,-0.034,-0.106,0.014,-21,4.06
HR3318,Alp Cha,BSC,0,124.6317,-76.9197,0.11,0.108,0.053,-14,4.07
HR5670,Bet Cir,BSC,0,229.3783,-58.8011,-0.1,-0.137,0.053,10,4.07
HR3477,,BSC,0,131.1,-42.6492,-0.012,0.018,0.051,-2,4.07
HR8075,23The Cap,BSC,0,316.4867,-17.2328,0.083,-0.06,0.017,-11,4.07
HR2574,14The CMa,BSC,0,103.5475,-12.0386,-0.137,-0.013,0.022,97,4.07
HR779,82Del Cet,BSC,0,39.8708,0.3286,0.014,-0.004,0.001,13,4.07
HR1580,9Omi2Ori,BSC,0,74.0929,13.5144,-0.074,-0.047,0.019,1,4.07
HR5200,5Ups Boo,BSC,0,207.3692,15.7978,-0.095,0.042,0.011,-6,4.07
HR496,Phi Per,BSC,0,25.915,50.6886,0.026,-0.014,0.025,1,4.07
HR3825,,BSC,0,143.6113,-59.2294,-0.012,0.014,,22,4.08
HR4287,7Alp Crt,BSC,0,164.9438,-18.2989,-0.46,0.13,0.031,47,4.08
HR4405,15Gam Crt,BSC,0,171.2204,-17.6839,-0.098,0.004,0.028,1,4.08
HR5338,99Iot Vir,BSC,0,214.0038,-6.0006,-0.004,-0.432,0.043,12,4.08
HR8173,1    Peg,BSC,0,320.5217,19.8044,0.106,0.064,0.014,-76,4.08
HR8316,Mu  Cep,BSC,0,325.8767,58.78,0.003,-0.003,0.003,19,4.08
HR705,Del Hyi,BSC,0,35.4371,-68.6594,-0.05,0.002,0.05,6,4.09
