---,StarNameFString,CatalogFString,StarNumberInt,RightAscenstion,Declination,ProperMotionInRightAscension,ProperMotionInDeclination,Parallax,RadialVelocity,OptionalVisualMagnitude
HR7796,37Gam Cyg,BSC,0,305.5571,40.2567,0.004,0,0.003,-8,2.2
HR3634,Lam Vel,BSC,0,136.9992,-43.4325,-0.019,0.013,0.022,18,2.21
HR1852,34Del Ori,BSC,0,83.0017,-0.2992,0.001,-0.002,0.014,16,2.23
HR5793,5Alp CrB,BSC,0,233.6721,26.7147,0.121,-0.089,0.045,2,2.23
HR6705,33Gam Dra,BSC,0,269.1517,51.4889,-0.008,-0.019,0.025,-28,2.23
HR168,18Alp Cas,BSC,0,10.1271,56.5372,0.053,-0.032,0.016,-4,2.23
HR3699,Iot Car,BSC,0,139.2725,-59.2753,-0.02,0.008,0.017,13,2.25
HR3165,Zet Pup,BSC,0,120.8962,-40.0033,-0.027,0.012,,-24,2.25
HR603,57Gam1And,BSC,0,30.975,42.3297,0.045,-0.052,0.013,-12,2.26
HR5054,79Zet UMa,BSC,0,200.9812,54.9253,0.122,-0.02,0.047,-6,2.27
HR21,11Bet Cas,BSC,0,2.2946,59.1497,0.525,-0.181,0.072,12,2.27
HR6241,26Eps Sco,BSC,0,252.5408,-34.2933,-0.611,-0.255,0.022,-3,2.29
HR5132,Eps Cen,BSC,0,204.9717,-53.4664,-0.028,-0.016,,3,2.3
HR5469,Alp Lup,BSC,0,220.4825,-47.3883,-0.021,-0.018,,5,2.3
HR5440,Eta Cen,BSC,0,218.8767,-42.1578,-0.035,-0.035,,0,2.31
HR5953,7Del Sco,BSC,0,240.0833,-22.6217,-0.012,-0.022,,-7,2.32
HR4295,48Bet UMa,BSC,0,165.4604,56.3825,0.082,0.034,0.053,-12,2.37
HR99,Alp Phe,BSC,0,6.5708,-42.3061,0.203,-0.396,0.035,75,2.39
HR8308,8Eps Peg,BSC,0,326.0467,9.875,0.031,-0.001,0.006,5,2.39
HR6580,Kap Sco,BSC,0,265.6221,-39.03,-0.006,-0.027,,-14,2.41
HR8775,53Bet Peg,BSC,0,345.9438,28.0828,0.189,0.137,0.022,9,2.42
HR6378,35Eta Oph,BSC,0,257.5946,-15.7247,0.039,0.098,0.052,-1,2.43
HR4554,64Gam UMa,BSC,0,178.4575,53.6947,0.095,0.012,0.028,-13,2.44
HR8162,5Alp Cep,BSC,0,319.645,62.5856,0.151,0.049,0.068,-10,2.44
HR2827,31Eta CMa,BSC,0,111.0238,-29.3031,-0.004,0.005,,41,2.45
HR7949,53Eps Cyg,BSC,0,311.5529,33.9703,0.356,0.328,0.057,-11,2.46
HR264,27Gam Cas,BSC,0,14.1771,60.7167,0.026,-0.005,0.016,-7,2.47
HR8781,54Alp Peg,BSC,0,346.1904,15.2053,0.063,-0.042,0.038,-4,2.49
HR3734,Kap Vel,BSC,0,140.5283,-55.0108,-0.008,0.009,0.013,22,2.5
HR911,92Alp Cet,BSC,0,45.57,4.0897,-0.009,-0.078,0.009,-26,2.53
HR5231,Zet Cen,BSC,0,208.885,-47.2883,-0.057,-0.042,,7,2.55
HR6175,13Zet Oph,BSC,0,249.2896,-10.5672,0.014,0.026,0.003,-15,2.56
HR4357,68Del Leo,BSC,0,168.5271,20.5236,0.142,-0.13,0.048,-20,2.56
HR1865,11Alp Lep,BSC,0,83.1825,-17.8222,0.001,0.002,0.007,24,2.58
HR4662,4Gam Crv,BSC,0,183.9517,-17.5419,-0.161,0.023,,-4,2.59
HR4621,Del Cen,BSC,0,182.0896,-50.7225,-0.034,-0.008,0.026,11,2.6
HR7194,38Zet Sgr,BSC,0,285.6529,-29.8803,-0.015,-0.002,0.025,22,2.6
HR5685,27Bet Lib,BSC,0,229.2517,-9.3831,-0.096,-0.019,-0.003,-35,2.61
HR4057,41Gam1Leo,BSC,0,154.9929,19.8417,0.306,-0.147,0.022,-37,2.61
HR5984,8Bet1Sco,BSC,0,241.3592,-19.8056,-0.006,-0.019,0.009,-1,2.62
HR2095,37The Aur,BSC,0,89.9304,37.2125,0.048,-0.081,0.022,30,2.62
HR1956,Alp Col,BSC,0,84.9121,-34.0742,0.007,-0.026,0.001,35,2.64
HR553,6Bet Ari,BSC,0,28.66,20.8081,0.096,-0.111,0.074,-2,2.64
HR4786,9Bet Crv,BSC,0,188.5967,-23.3967,0.002,-0.054,0.034,-8,2.65
HR5854,24Alp Ser,BSC,0,236.0671,6.4256,0.137,0.047,0.053,3,2.65
HR5571,Bet Lup,BSC,0,224.6329,-43.1339,-0.035,-0.039,,0,2.68
HR5235,8Eta Boo,BSC,0,208.6712,18.3978,-0.063,-0.358,0.108,0,2.68
HR403,37Del Cas,BSC,0,21.4542,60.2353,0.297,-0.051,0.037,7,2.68
HR4798,Alp Mus,BSC,0,189.2958,-69.1356,-0.048,-0.013,,13,2.69
HR4216,Mu  Vel,BSC,0,161.6925,-49.42,0.074,-0.048,0.022,6,2.69
HR6508,34Ups Sco,BSC,0,262.6908,-37.2958,-0.001,-0.031,,8,2.69
HR1577,3Iot Aur,BSC,0,74.2483,33.1661,0.003,-0.018,0.021,18,2.69
HR2773,Pi  Pup,BSC,0,109.2858,-37.0975,-0.009,0.004,0.032,16,2.7
HR6859,19Del Sgr,BSC,0,275.2487,-29.8281,0.035,-0.028,0.047,-20,2.7
HR5506,36Eps Boo,BSC,0,221.2467,27.0742,-0.049,0.021,0.016,-17,2.7
HR7525,50Gam Aql,BSC,0,296.565,10.6133,0.018,-0.002,0.016,-2,2.72
HR6056,1Del Oph,BSC,0,243.5862,-3.6944,-0.044,-0.143,0.034,-20,2.74
HR6132,14Eta Dra,BSC,0,245.9979,61.5142,-0.017,0.061,0.051,-14,2.74
HR5028,Iot Cen,BSC,0,200.1492,-36.7122,-0.341,-0.085,0.062,0,2.75
HR5531,9Alp2Lib,BSC,0,222.7196,-16.0417,-0.106,-0.067,0.058,-10,2.75
HR4199,The Car,BSC,0,160.7392,-64.3944,-0.023,0.01,,24,2.76
HR1899,44Iot Ori,BSC,0,83.8583,-5.91,0,0.001,0.025,22,2.77
HR6603,60Bet Oph,BSC,0,265.8683,4.5672,-0.04,0.159,0.033,-12,2.77
HR6148,27Bet Her,BSC,0,247.555,21.4897,-0.098,-0.015,0.024,-26,2.77
HR5776,Gam Lup,BSC,0,233.7854,-41.1669,-0.015,-0.028,0.008,2,2.78
HR1666,67Bet Eri,BSC,0,76.9625,-5.0864,-0.095,-0.081,0.05,-9,2.79
HR6536,23Bet Dra,BSC,0,262.6083,52.3014,-0.016,0.015,0.013,-20,2.79
HR98,Bet Hyi,BSC,0,6.4379,-77.2542,2.215,0.324,0.153,23,2.8
HR4656,Del Cru,BSC,0,183.7863,-58.7489,-0.041,-0.009,0.003,22,2.8
